行業別大類,行業別中類,行業別小類,月份,售電量
A.農、林、漁、牧業,01 農、牧業,011 農作物栽培業,01,39773850
A.農、林、漁、牧業,01 農、牧業,012 畜牧業,01,52352363
A.農、林、漁、牧業,01 農、牧業,013 農事及畜牧服務業,01,58980515
A.農、林、漁、牧業,02 林業,021 林業,01,178201
A.農、林、漁、牧業,03 漁業,031 漁撈業,01,114154
A.農、林、漁、牧業,03 漁業,032 水產養殖業,01,78716563
B.礦業及土石採取業,05 石油及天然氣礦業,,01,3286828
B.礦業及土石採取業,06 砂、石採取及其他礦業,,01,23647781
C.製造業,08 食品及飲料製造業,081 肉類加工及保藏業,01,40664242
C.製造業,08 食品及飲料製造業,082 水產加工及保藏業,01,17505692
C.製造業,08 食品及飲料製造業,083 蔬果加工及保藏業,01,19001975
C.製造業,08 食品及飲料製造業,084 動植物油脂製造業,01,14110072
C.製造業,08 食品及飲料製造業,085 乳品製造業,01,17472643
C.製造業,08 食品及飲料製造業,086 碾榖、磨粉及澱粉製品製造業,01,19759306
C.製造業,08 食品及飲料製造業,087 動物飼品製造業,01,27427637
C.製造業,08 食品及飲料製造業,089 其他食品製造業,01,139131151
C.製造業,09 飲料製造業,091 酒精飲料製造業,01,8726897
C.製造業,09 飲料製造業,092 非酒精飲料製造業,01,24572965
C.製造業,10菸草製造業,,01,3761177
C.製造業,11 紡織業,111 紡紗業,01,102333743
C.製造業,11 紡織業,112 織布業,01,173352671
C.製造業,11 紡織業,113 不織布業,01,28091042
C.製造業,11 紡織業,114 染整業,01,57748266
C.製造業,11 紡織業,115 紡織品製造業,01,23770211
C.製造業,12 成衣及服飾品製造業,121 成衣製造業,01,11918660
C.製造業,12 成衣及服飾品製造業,123 服飾品製造業,01,3714758
C.製造業,13 皮革、毛皮及其製品製造業,,01,10679275
C.製造業,14 木竹製品製造業,,01,10995695
C.製造業,15 紙漿、紙及紙製品製造業,151 紙漿、紙及紙板製造業,01,110080931
C.製造業,15 紙漿、紙及紙製品製造業,152 瓦楞紙板及紙容器製造業,01,38227034
C.製造業,15 紙漿、紙及紙製品製造業,153 其他紙製品製造業,01,31843689
C.製造業,16 印刷及資料儲存媒體複製業,,01,33422298
C.製造業,17 石油及煤製品製造業,,01,189575759
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,181 化學原材料製造業,01,493260736
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,183 肥料及氮化合物製造業,01,13761797
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,184 塑膠及合成橡膠原料製造業,01,234733746
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,185 人造纖維製造業,01,123997855
C.製造業,19 其他化學製品製造業,191 農藥及環境用藥製造業,01,3975811
C.製造業,19 其他化學製品製造業,192 塗料、染料及顏料製造業,01,18103943
C.製造業,19 其他化學製品製造業,193 清潔用品及化粧品製造業,01,12491354
C.製造業,19 其他化學製品製造業,199 未分類其他化學製品製造業,01,103033752
C.製造業,20 藥品及醫用化學製品製造業,,01,61004198
C.製造業,21 橡膠製品製造業,,01,79592434
C.製造業,22 塑膠製品製造業,,01,439607505
C.製造業,23 非金屬礦物製品製造業,231 玻璃及其製品製造業,01,223156493
C.製造業,23 非金屬礦物製品製造業,232 耐火、黏土建材及其他陶瓷製品製造業,01,32152576
C.製造業,23 非金屬礦物製品製造業,233 水泥及其製品製造業,01,158736006
C.製造業,23 非金屬礦物製品製造業,234 石材製品製造業,01,7889600
